id,mensa_id,date,name,category,prices_students,notes
66821,116,2012-08-20,"Pfannkuchen ""Italia"" mit Sauce hollandaise dazu Beilage",Tagesgericht,,[]
66820,116,2012-08-20,Rinderschmorbraten in Rotweinsauce,Menü 3,,[]
66823,116,2012-08-21,Spinat-Käseknödel mit Tomatensauce und Reis dazu gemischter Salat,Tagesgericht,,[]
66822,116,2012-08-21,Gyros aus der Pfanne mit Tzatziki,Menü,,[]
66825,116,2012-08-22,Asiatische Gemüsepfanne mit Sojawürfeln und Glasnudeln,Menü vegetarisch,,[]
66824,116,2012-08-22,Gebackene Hähnchenschnitte mit Tomaten-Thymiansauce,Menü 3,,[]
66827,116,2012-08-23,Frühlingsrolle mit Gemüsefüllung dazu Tomatensauce,Menü vegetarisch,,[]
66826,116,2012-08-23,Halbes Hähnchen vom Grill,Menü 3,,[]
66829,116,2012-08-24,Bunte Paprikapfanne mit Bambussprossen und Dinkel,Menü vegetarisch,,[]
66828,116,2012-08-24,Fischfilet mit Remouladensauce,Menü 3,,[]
165011,116,2012-08-27,"Chinaschnitte ""Nan Jing"" an Asiasauce",Tagesgericht,,[]
165010,116,2012-08-27,Schweinerückensteak mit Senfsauce,Menü,,[]
165013,116,2012-08-28,Gefüllte Zucchinischiffchen mit Tomatensauce,Menü vegetarisch,,[]
165012,116,2012-08-28,Rinderragout mit Pilzen,Menü,,[]
165015,116,2012-08-29,Spaghetti mit Petersilienpesto dazu Salat und ein Stück Obst,Tagesgericht,,[]
165014,116,2012-08-29,Gebratene Putenbrust mit Rahmsauce,Menü 3,,[]
94305,116,2012-08-30,Austernpilzpfanne mit Schupfnundeln dazu Kräuterdipp (vegan),Menü vegetarisch,,[]
165016,116,2012-08-30,Currywurst mit Tomatensauce und Pommes-frites dazu Salatbeilage,Tagesgericht,,[]
165018,116,2012-08-31,Vegetarische Frühlingsrolle und Tomatensauce mit Beilage,Tagesgericht,,[]
165017,116,2012-08-31,Gebackenes Seelachsfilet mit Remouladensauce,Menü 3,,[]
172585,116,2012-09-03,Asiatische Pilzpfanne mit Glasnudeln und Sojawürfeln,Menü vegetarisch,2.85,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
172584,116,2012-09-03,"Geröstete Putenbruststreifen ""türkische Art"" mit Chilisauce",Menü,2.85,[]
172587,116,2012-09-04,Hetax-Käse paniert mit Joghurtdipp,Menü vegetarisch,2.35,[]
172586,116,2012-09-04,"Rinderhacksteak ""Spanische Art"" mit Oliven und Tomaten",Menü 3,2.55,[]
172589,116,2012-09-05,Geräuchertes Tofusteak aus Asiadipp,Menü vegetarisch,2.95,[]
172588,116,2012-09-05,Paniertes Hähnchenschnitzel auf Kräutersauce,Menü 3,2.95,[]
172591,116,2012-09-06,Gemüse-Lasagne mit Sahnesauce,Menü vegetarisch,2.45,[]
172590,116,2012-09-06,"Hähnchenkeule mit Sauce, Pommes frites und Salat Currysoße",Tagesgericht,2.05,[]
172593,116,2012-09-07,Gemüsepfanne mit Schnupfnudeln und Getreide dazu grüne Sauce,Menü vegetarisch,2.55,['mit  Antioxidationsmittel']
172592,116,2012-09-07,2 Fischfrikadellen mit Kartoffelsalat und Obst dazu Remouladensauce,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Süßungsmittel']"
192833,116,2012-09-10,Getreide-Goreng mit kalter Chilisauce,Menü vegetarisch,2.3,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
192832,116,2012-09-10,Putenbraten in Rahmsauce,Menü 3,2.7,[]
192835,116,2012-09-11,Panierter Hetax-Käse mit Kräuterdipp,Tagesgericht,2.55,[]
192834,116,2012-09-11,Gegrilltes Hähnchenbrustfilet dazu Kokos-Currysauce,Menü,2.95,[]
192837,116,2012-09-12,Gnocchi mit Pestofüllung und Tomatensauce dazu Salatbeilage und ein Stück Obst,Menü 3,2.65,[]
192836,116,2012-09-12,Rindergeschnetzeltes mit Paprika- und Zucchinistreifen,Menü,3.0,[]
192839,116,2012-09-13,2 Spinat-Getreideklöße auf Tomatensauce,Menü vegetarisch,2.45,[]
192838,116,2012-09-13,Gegrilltes Schweinerückensteak mit Zwiebeln und Pilzen,Menü,2.95,['mit Schweinefleisch']
192841,116,2012-09-14,Kartoffel Cordon bleu mit Vollkornsauce,Menü vegetarisch,2.45,[]
192840,116,2012-09-14,Fischfilet im Backteig dazu Tomatensauce,Menü 3,3.05,[]
214857,116,2012-09-17,Kartoffelauflauf Moussaka mit kalter Kräutersauce,Menü vegetarisch,2.25,[]
214856,116,2012-09-17,"Mediterrane Putenpfanne mit Tomaten, Oliven und Zucchini",Menü,2.1,[]
214859,116,2012-09-18,Blumenkohl-Nrokkoli-Auflauf mit Sauce hollandaise überbacken,Menü vegetarisch,2.65,['mit Farbstoff']
214858,116,2012-09-18,Hühnerragout in einer Blätterteigpastete mit Reis und Salat,Tagesgericht,2.35,"['mit Alkohol', 'mit Farbstoff']"
214861,116,2012-09-19,Eierpfannkuchen mit Gemüsefüllung und kalter Currysauce,Menü vegetarisch,2.45,[]
214860,116,2012-09-19,Hähnchenkeule in Rotweinsauce,Menü,2.35,['mit Alkohol']
214863,116,2012-09-20,Hausgemachter Getreidebratling mit Zucchini und Auberginen,Menü vegetarisch,2.85,[]
214862,116,2012-09-20,Hausgemachte Frikadelle mit Käse und Tomate überbacken dazu Pommes-frites und gemischter Salat,Tagesgericht,1.95,['mit Schweinefleisch']
214865,116,2012-09-21,Gemüsepfanne aus dem Mittelmeerraum mit Joghurtdipp,Menü vegetarisch,2.35,[]
214864,116,2012-09-21,Frankfurter Würstchen mit Kartoffelsalat und Fruchtkompott,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel', 'mit Süßungsmittel']"
232959,116,2012-09-24,Couscous mit Ratatouillegemüse und Schafskäse dazu Joghurtdipp,Menü vegetarisch,2.4,[]
232958,116,2012-09-24,Rinderschmorbraten mit Oliven und Tomaten dazu Rotweinsauce,Menü 3,2.95,['mit Alkohol']
232961,116,2012-09-25,Gemüsekroketten mit Curry-Ingwer-Sauce,Tagesgericht,2.0,[]
232960,116,2012-09-25,Cordon-bleu von der Hähnchenbrust mit Rahmsauce,Menü 3,2.85,"['mit Konservierungsstoff', 'mit  Antioxidationsmittel']"
232963,116,2012-09-26,Möhrenschnitzel mit Käsesauce,Menü vegetarisch,2.3,['mit Konservierungsstoff']
232962,116,2012-09-26,Hackfleischbällchen in feueriger Paprikasauce mit Butterreis und gemischtem Salat,Tagesgericht,2.1,['mit Schweinefleisch']
232965,116,2012-09-27,"Wellnesspfanne ""Hellas"" mit Sauerrahmdipp dazu Salatbeilage und Fruchtkompott",Tagesgericht,2.25,[]
232964,116,2012-09-27,Rindergeschnetzeltes mit Pilzen und Paprika in Rahmsauce,Menü 3,2.95,[]
232967,116,2012-09-28,"Kartoffelschnitte ""Spreewälder Art"" mit Käsesauce",Menü vegetarisch,2.55,"['mit Konservierungsstoff', 'mit Phosphat', 'mit Schweinefleisch']"
232966,116,2012-09-28,Putenbraten in Rahmsauce,Menü 3,2.85,[]
241365,116,2012-10-01,"Pfannkuchen ""Italia"" mit Sauce hollandaise dazu Beilage",Tagesgericht,2.0,[]
241364,116,2012-10-01,Rinderschmorbraten in Rotweinsauce,Menü 3,3.15,['mit Alkohol']
241367,116,2012-10-02,Spinat-Käseknödel mit Tomatensauce und Reis dazu gemischter Salat,Tagesgericht,1.9,[]
241366,116,2012-10-02,Gyros aus der Pfanne mit Tzatziki,Menü,3.0,['mit Schweinefleisch']
241368,116,2012-10-04,Frühlingsrolle mit Gemüsefüllung dazu Tomatensauce,Menü vegetarisch,2.45,[]
241370,116,2012-10-05,Bunte Paprikapfanne mit Bambussprossen und Dinkel,Menü vegetarisch,2.85,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
241369,116,2012-10-05,Fischfilet mit Remouladensauce,Menü 3,3.05,"['mit Alkohol', 'mit Konservierungsstoff', 'mit Süßungsmittel']"
247665,116,2012-10-08,"Kartoffelauflauf ""Moussaka Art"" mit Joghurtdipp",Menü vegetarisch,2.65,[]
247664,116,2012-10-08,"Hähnchenfleischstreifen ""türkische Art"" mit Gemüsestreifen dazu Chilisauce",Menü,3.05,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
247667,116,2012-10-09,Spinatklöße mit Grünkern und Soja dazu Curryrahmsauce mit Mango,Menü vegetarisch,2.35,[]
247666,116,2012-10-09,Gebratener Fleischkäse mit Pfefferrahmsauce,Menü,2.35,['mit Schweinefleisch']
247669,116,2012-10-10,Kürbis-Gemüseragout mit Getreidereis,Menü vegetarisch,2.75,[]
247668,116,2012-10-10,Gebackenes Putenschnitzel mit Basilikumsauce,Menü,2.85,['mit Alkohol']
247671,116,2012-10-11,Frische Champignonköpfe mit Kräuterrahmsauce,Menü vegetarisch,2.75,['mit Alkohol']
247670,116,2012-10-11,"Hähnchenschnitzel ""Cordon bleu"" mit Pilzrahmsauce dazu Mischsalat und Reis",Menü,2.95,['mit Konservierungsstoff']
247673,116,2012-10-12,Vegetarisch gefüllter Pfannkuchen mit Sauce hollandaise,Menü vegetarisch,2.75,[]
